,ID,Income,Recency,NumWebVisitsMonth,Complain,Response,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,Expenses,NumPurchases,AcceptedCmp,Childrenhome,Age,clusterid
0,5524,58138.0,58,7,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1617,25,0,0,66,2
1,2174,46344.0,38,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,27,6,0,2,69,2
2,4141,71613.0,26,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,776,21,0,0,58,2
3,6182,26646.0,26,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,53,8,0,1,39,2
4,5324,58293.0,94,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,422,19,0,1,42,2
5,7446,62513.0,16,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,716,22,0,1,56,2
6,965,55635.0,34,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,590,21,0,1,52,0
7,6177,33454.0,32,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,169,10,0,1,38,2
8,4855,30351.0,19,9,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,46,6,0,1,49,3
9,5899,5648.0,68,20,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,49,2,1,2,73,3
10,1994,52247.25135379061,11,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,19,4,0,1,40,0
11,387,7500.0,59,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,61,6,0,0,47,3
12,2125,63033.0,82,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1102,16,0,0,64,0
13,8180,59354.0,53,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,310,15,0,2,71,0
14,2569,17323.0,38,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,46,5,0,0,36,0
16,9736,41850.0,51,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,96,9,0,2,43,0
17,4939,37760.0,20,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,317,13,0,0,77,2
18,6565,76995.0,91,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1782,26,1,1,74,1
19,2278,33812.0,86,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,133,8,0,1,38,1
20,9360,37040.0,41,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,316,12,0,0,41,0
22,1993,58607.0,63,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,972,17,1,1,74,2
23,4047,65324.0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,544,20,0,1,69,2
24,1409,40689.0,69,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,444,20,0,1,72,2
25,7892,18589.0,89,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,75,8,0,0,54,2
26,2404,53359.0,4,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,257,14,0,2,47,0
28,9422,38360.0,26,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,131,9,0,1,34,0
30,6864,10979.0,34,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,30,8,0,0,34,0
31,3033,38620.0,56,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,318,11,0,0,60,2
32,5710,40548.0,31,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,120,9,1,1,53,2
34,8755,68657.0,4,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1196,18,0,0,77,1
35,10738,49389.0,55,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,65,6,0,2,72,1
36,4339,67353.0,37,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,913,28,0,1,53,2
37,10755,23718.0,76,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,81,9,0,1,47,1
38,8595,42429.0,99,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,67,7,0,1,50,3
40,8601,80011.0,3,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1395,21,0,1,43,0
41,503,20559.0,88,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,53,7,0,1,38,1
42,8430,21994.0,4,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,22,4,0,1,66,2
43,7281,52247.25135379061,80,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,186,9,0,0,64,1
44,2139,7500.0,19,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,31,8,0,1,48,1
45,1371,79941.0,72,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,984,16,0,0,47,2
46,9909,7500.0,24,9,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,122,10,0,0,27,1
47,7286,41728.0,92,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,55,5,0,1,55,2
48,7244,52247.25135379061,96,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,124,10,0,3,72,2
49,6566,72550.0,39,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1319,28,0,2,69,2
50,8614,65486.0,29,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,507,17,0,1,66,3
51,4114,79143.0,2,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1693,29,0,0,59,1
52,1331,35790.0,54,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,72,7,0,1,46,2
54,9381,66373.0,57,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,606,23,0,2,45,0
57,7437,27938.0,31,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29,6,0,1,35,2
58,8557,52247.25135379061,57,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,46,7,0,1,41,2
59,8375,55954.0,63,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,518,19,0,1,55,2
61,3076,66653.0,18,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,612,22,0,2,48,2
62,1012,61823.0,26,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,884,24,0,1,71,2
64,4137,70666.0,29,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1076,16,0,0,75,2
65,8082,25721.0,75,7,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,34,5,0,1,52,0
66,1386,32474.0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,11,4,0,2,56,2
68,4477,69096.0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,653,18,0,1,65,2
69,1357,74854.0,90,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1562,19,0,3,53,2
70,1402,66991.0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1253,21,0,0,69,1
71,10629,52247.25135379061,25,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,109,9,0,1,50,1
72,6312,65031.0,29,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,863,30,0,1,64,0
73,8132,60631.0,88,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,661,24,1,2,48,2
74,1050,28332.0,58,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,65,8,0,0,71,0
75,5846,40246.0,68,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,13,4,0,1,46,0
77,7503,75825.0,40,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2209,22,1,0,47,2
78,10401,26326.0,12,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18,4,0,0,47,3
80,3332,29760.0,87,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,165,12,0,1,38,2
81,2261,26304.0,5,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,16,4,0,1,54,0
82,5346,23559.0,87,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,79,9,0,1,50,1
83,4119,38620.0,56,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,318,11,0,0,60,2
84,535,81361.0,18,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,778,27,0,0,36,0
85,5268,29440.0,95,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,56,7,0,2,63,0
86,273,36138.0,48,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,151,13,1,2,53,1
88,8504,79593.0,70,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1366,19,1,0,50,0
89,771,54178.0,79,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,194,10,0,1,56,2
90,8996,52247.25135379061,4,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,603,29,0,3,66,2
91,9235,52247.25135379061,45,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,18,4,0,2,66,2
92,5798,52247.25135379061,87,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,985,15,0,0,50,2
93,11178,42394.0,69,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,32,5,0,1,51,1
94,2230,23626.0,84,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,43,10,0,1,53,2
95,7516,30096.0,30,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,45,6,0,1,40,0
96,7247,47916.0,72,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,606,22,1,1,63,3
97,11100,51813.0,37,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,63,7,0,2,51,0
99,3037,50150.0,32,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,410,16,0,0,40,2
100,1473,47823.0,0,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,72,7,0,1,63,1
101,1016,34554.0,43,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,55,7,0,1,64,1
102,4518,85693.0,59,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1169,27,0,1,44,2
103,9370,65846.0,68,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1120,16,0,0,78,2
104,8908,87195.0,35,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1097,20,0,0,64,0
106,7533,49096.0,15,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,187,13,0,2,59,0
107,2683,52413.0,56,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,910,26,0,2,54,0
108,3629,38557.0,17,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,145,9,0,1,45,2
109,10991,89058.0,18,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,850,14,0,0,63,1
